Txn Hash,Method,Timestamp,From,To,TokenID,Contract Address,Value,Type,Market Place
0xe6b16e1e2d7edc43d12942a24a62dfdc9ad98359c7907fa7803b757c7d54e585,Transfer From,2022-05-28 2:40:31,0x6600faed3bb1c0debca6498f6e4d549991bd3a24,0xff505439fc188350493f4e711293adc70087d0b0,3234,0x64b6b4142d4D78E49D53430C1d3939F2317f9085,0.0,Transfer,None
0x5fa7ffb70896fe99ef7f722f56e1f11eb35b090861259cdde20b53312751084c,Atomic Match_,2022-05-28 2:40:16,0xeafc93b48d9e8947fdc30f05d5b9a0772b71fe6f,0xe1da4f75b89f963487b4721daa9e4fe6de2bdc05,4963,0x7f268357A8c2552623316e2562D90e642bB538E5,0.299,Transfer,None
0xaac38105b7ee3e45a8862236d9c47b9b28cd61fe8a6cf3d9ef24a0f61fb0ee4d,Transfer From,2022-05-28 2:40:16,0x1d223d1dff9e5b323f53b48962ef848e737e73a4,0x4e12a47e85ba49429c507eb7cba61882cba7688b,1339,0x64b6b4142d4D78E49D53430C1d3939F2317f9085,0.0,Transfer,None
0xaa784d27f84515da9eafc7d7f6311253cfd11426c213da3a2746e3e2cb2bf3f8,Transfer From,2022-05-28 2:37:11,0xed4026ba2055578c6dccdb4f79315e7eed760759,0x68b9f04a8f135e5c619a2a0fe2cdf33eb3058597,2844,0x64b6b4142d4D78E49D53430C1d3939F2317f9085,0.0,Transfer,None
0xa11e7e24541a54a4a1ca74105f4db9155661666c0a5974ca14f7875f9c49eaa8,Atomic Match_,2022-05-28 2:37:07,0xeaef4f28ea6c8c92950fb5e6c93768b7173bbd35,0xa287059da18ebf2205798ebec1dea36a5c1c67c9,9730,0x7f268357A8c2552623316e2562D90e642bB538E5,0.28,Transfer,None
0x2f214cd84f6e902490a49b792f64a2167a93ff389a851d65f1cc0c069e4db219,Atomic Match_,2022-05-28 2:36:51,0xa21a6f85e9e782427491c20361a84ac6b816fa38,0xd20e8a9001d283969d894226d32ba139f247d41c,7519,0x7f268357A8c2552623316e2562D90e642bB538E5,0.43,Transfer,None
0xbbc985e22782419fa177584b08a7496ba2c44a5582c7b32c84276da1e78dcdb9,Atomic Match_,2022-05-28 2:36:37,0x3764327c056353f0c2de6080d7a55e306dedd375,0x4a31abefc606a819c331234c5b207a7d1baec978,8893,0x7f268357A8c2552623316e2562D90e642bB538E5,0.339,Transfer,None
0x617053218b1f9b1246210402d36ea2a0136993ca9d78df29a577c6a4ace3e28d,Transfer From,2022-05-28 2:36:29,0x6600faed3bb1c0debca6498f6e4d549991bd3a24,0xff505439fc188350493f4e711293adc70087d0b0,3239,0x64b6b4142d4D78E49D53430C1d3939F2317f9085,0.0,Transfer,None
0x6c4186b705aab66777d65bf0144c6ce33df21e6f5d2e56bb99e31ce35f9a4f5f,Safe Transfer Fr...,2022-05-28 2:36:03,0x5ed2dec70d5d3c09fe3521a3c72f0b4389f5fa13,0x5ed2dec70d5d3c09fe3521a3c72f0b4389f5fa13,945,0x64b6b4142d4D78E49D53430C1d3939F2317f9085,0.0,Transfer,None
0x6d462ce252ed31194efaa3d337aa52a112770efe1bc0c62c0e7e3dbe12c7733c,Safe Transfer Fr...,2022-05-28 2:35:42,0x5ed2dec70d5d3c09fe3521a3c72f0b4389f5fa13,0x5ed2dec70d5d3c09fe3521a3c72f0b4389f5fa13,1868,0x64b6b4142d4D78E49D53430C1d3939F2317f9085,0.0,Transfer,None
0xc36aef5c34b4855190632a65554059ca1ea69ca28f4b045016bfbdbbf0e86c3e,Safe Transfer Fr...,2022-05-28 2:35:42,0x5ed2dec70d5d3c09fe3521a3c72f0b4389f5fa13,0x5ed2dec70d5d3c09fe3521a3c72f0b4389f5fa13,9911,0x64b6b4142d4D78E49D53430C1d3939F2317f9085,0.0,Transfer,None
0xe18a7433402f2e441c467d71b04a7222cbe24ddc44ad80f7b79bb87994680c0b,Atomic Match_,2022-05-28 2:35:42,0x68b2deb1564f60f9c8224848293a39c49df721e1,0xbca07b34795119e4eb0e58840e624317ce831997,365,0x7f268357A8c2552623316e2562D90e642bB538E5,0.335,Transfer,None
