Txn Hash,Method,Timestamp,From,To,TokenID,Contract Address,Value,Type,Market Place
0x7640b812fcb6423323fa4d8794b5f8c04640abbc8878151ebb110d44af003b2b,Transfer From,2022-05-19 3:32,0xde83bd6432ec875d57fcdc28c128a2adeca53204,yoshibow.eth,5569,0x845a007D9f283614f403A24E3eB3455f720559ca,0.0,Transfer,None
0xa909040925a5b7c989077dfb213e668c5aaca30dd92377b5f25a4102985b77fb,Atomic Match_,2022-05-19 3:27,*matt-dao.eth,0x6cf331ca783af2ccf7b0e0c991a8da7b79c071d5,16747,0x7f268357A8c2552623316e2562D90e642bB538E5,0.035,Transfer,None
0x311fcb9a992fbe9a1d36652f2cb13302dfff111a62edc1a297b72409bd67969b,Atomic Match_,2022-05-19 3:27,0x0fcef2286ea30db658593ed136ab420a97547d4b,0x66aa50d9b057d7946c8a4fa6986598534f3806c8,431,0x7f268357A8c2552623316e2562D90e642bB538E5,0.03,Transfer,None
0x22ad78ba24a119f0d2f793665cf2e20a77452a3e507cf2547f4e9b001cfdf752,Atomic Match_,2022-05-19 3:26,0x0fcef2286ea30db658593ed136ab420a97547d4b,0x85c2c6ac5ec7a46503630656d940e8034ad2b029,20490,0x7f268357A8c2552623316e2562D90e642bB538E5,0.03,Transfer,None
0xd36470f8e9196ac2acd921c77292c7d559403ec3110acb27f63caad15dae6309,Atomic Match_,2022-05-19 3:22,0xce8f2ee67d57723206f0ab18810c0ab89c3bf4fd,byac4ever.eth,1210,0x7f268357A8c2552623316e2562D90e642bB538E5,0.021,Transfer,None
0x1770058fc591d59cbdc531ba086605e0889582e383f9905e35d07d717f0030db,Atomic Match_,2022-05-19 3:19,0x06ea7b1603661233175977b6c49e13a95c7a7f4d,brand1345.eth,6958,0x7f268357A8c2552623316e2562D90e642bB538E5,0.02,Transfer,None
0x394ba0c5be9908a47147918b8f0d7502461c69e229b22222c108433de2b2b579,Atomic Match_,2022-05-19 3:18,0x52483e1f312394a416e1a5fbe6943fd25a135ee2,falcone.eth,14553,0x7f268357A8c2552623316e2562D90e642bB538E5,0.039,Transfer,None
0x8c1939e4190a4ceed4b5cf18d5a8e7fcca0f49231919c30a0e6f99420615b6e4,Atomic Match_,2022-05-19 3:16,0x09287a7716efdc3876e700bb9a6b5ab65b7dcbe9,0x1a591f32a4a8b8dcae7873e5b14b19b8429b1216,3409,0x7f268357A8c2552623316e2562D90e642bB538E5,0.024,Transfer,None
0x73ee46dc0a22ef768188ebd3a6458a628432f39c8946dcfdf085b90442a5e467,Atomic Match_,2022-05-19 3:14,0x9c8d84c5627ea568725c8123373903f1c5ba2fe4,barrymcockiner.eth,6154,0x7f268357A8c2552623316e2562D90e642bB538E5,0.022,Transfer,None
0xaa0aec6c07eb22ab1b4e5498ed9c9d4cc2a7a5dbd7a73dac18248d5c3da12d26,Proxy Assert,2022-05-19 3:14,0x8ceeb7a364987db202d7e11f225e5472cd1cf713,0x04cf47c3e238bf4d5cb8d618abf536347ea8a599,4760,0x193C54df2f120898c6e36c00ad0d5844BB64cdea,0.0,Transfer,None
0x2bddab9040ed27b9ef4e676d705a868d4b1e202572b518385dc1c8bd562d6b89,Atomic Match_,2022-05-19 2:52,0xe057f408f654f466aab8fd94a6929c94e02fcc57,pokergod18.eth,2767,0x7f268357A8c2552623316e2562D90e642bB538E5,0.04,Transfer,None
0xbef1918a0f06c7a5edb0b2a6a0038997f9503fb7225cb4d9928bf21c558ab995,Atomic Match_,2022-05-19 2:52,0x9c8d84c5627ea568725c8123373903f1c5ba2fe4,byac4ever.eth,15973,0x7f268357A8c2552623316e2562D90e642bB538E5,0.021,Transfer,None
