Txn Hash,Method,Timestamp,From,To,TokenID,Contract Address,value
0x67bcdcfb781d417c36f1be5193c0b750942d5a54fb86a35ebfe940eb4c2defc6,Atomic Match_,,0x00af0414558b59fa5a612511e6d14cf408c223f2,0x07513bb7c13f6a1928648f62e7ed41d560c6443c,3970,0x7f268357A8c2552623316e2562D90e642bB538E5,0.045
0x693578c7cedf8fdd36eae96598859a3225d130f705b88bf6af9cd66fb33c608d,0x3b6d032e,,0x493c041d5f9b1ba555a08e4a4f65517ff70f12cc,0xf69f392eb66260bfdb41c56a5fe34cdb8c9841ca,6929,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x1c29acd3ce4082282eab53389e2f43940e04092ca777d3800874eaa7ca7b5b2e,Atomic Match_,,0xdcafcb96e8507d8fe3caeec5014af266babae45f,0xc8cd18be7c340a5e1ad7405bab5807ee7e5ac9da,11778,0x7f268357A8c2552623316e2562D90e642bB538E5,0.09
0xde82da4a041110dc0422fa6156f55545751057729168092d8c739317f348d89c,Atomic Match_,,hajime001.eth,coordi.eth,14411,0x7f268357A8c2552623316e2562D90e642bB538E5,0.0169
0xd546ab0b06d4ca2aebbb78550e2df107e0c1ecdb7dc03a7b6d06cae6804b09c8,Atomic Match_,,*ikuken-nft.eth,0x25558e1d28fdb4818c0f948af54d82fa9688c01a,16368,0x7f268357A8c2552623316e2562D90e642bB538E5,0.025
0xce5eef4dd7a0eb3a45447ed99626fc1e66d99a9fdbd6abe65bdd417360554a89,Atomic Match_,,0x9d575078a437a60a0b1519ea8b4017c1a0d2b60d,0xfe598c8dbea6d78dd06ae537b8171695d075106e,13045,0x7f268357A8c2552623316e2562D90e642bB538E5,0.0222222
0xc6d73065f8051cf7f8316b1e9409997862e1c1f709d28266c7b8140c7542e72c,Atomic Match_,,0x9e237101365f4026ec1b37cdde2b0d57164163db,coordi.eth,17393,0x7f268357A8c2552623316e2562D90e642bB538E5,0.0164
0x5081e8e39c396d81db763c3c80b5c241d43a5f3850c85c1586db059005ff5b8f,Atomic Match_,,0x04dcbad75ec8920842676316582c9a722dcd8d86,0x4e9b4d9988ba647d53d44d2bcf794d06441bd655,11466,0x7f268357A8c2552623316e2562D90e642bB538E5,0.02
0xd5bb285a2297bb6225a4def50d292ec53b0897df3c80ecf7e03eed91a6822214,Atomic Match_,,nosenosora.eth,0x9bb524bccce50c6a3606cecd80cfaa38d7d4fc26,19151,0x7f268357A8c2552623316e2562D90e642bB538E5,0.035
0xc4856d92a5f06263c302957bad76d369aeda2f58d8fe41938c2441582bc5d1f0,Atomic Match_,,0x804859dc72ef1ae8fee594c7377ecff45b82fbde,skiddily.eth,13638,0x7f268357A8c2552623316e2562D90e642bB538E5,0.0178
0xf5e0bb13107092f91f7ad6343b1c2f0a694561d34848923aad53d8d73df7fe93,Atomic Match_,,0x804859dc72ef1ae8fee594c7377ecff45b82fbde,0x1ad42fb475192c8c0a2fc7d0df6fac4f71142c58,12931,0x7f268357A8c2552623316e2562D90e642bB538E5,0.017
0x2f80827aed255fd18e7e1f0cbd35f3885d8cc3270a86bb765aee4af79f6fdbf9,Transfer From,,monep.eth,0x266d117da144b24696cf1ae73d0852481462d4ef,5739,0x845a007D9f283614f403A24E3eB3455f720559ca,0.0
0xf26b499c7598cf27ce42e7e3daaa1be2368005fc23f4a2f80a76f14e62e10f1c,Atomic Match_,,0xcde28c41b8c4403b3e18afb756b5c93e286a379a,0x7e1f847e20b5dc3519550d6b46104aa44ecc35f4,15072,0x7f268357A8c2552623316e2562D90e642bB538E5,0.03
0x68b3871656c8687fa063e9a6b0cbe2e1e82080caeac49dbb24542ffc8e712715,Atomic Match_,,0x7eea428bdbde6d605f593a95141e52f171ed3e4e,strongfingers.eth,14640,0x7f268357A8c2552623316e2562D90e642bB538E5,0.049
0xf657fbbf381690774dd9cd36dd06f70933128f7ef8fa83e682c000a8352de82b,Transfer From,,mamita.eth,0x11dd935d65dbc8425e8ba1d9ce4d85e8e6000737,5040,0x845a007D9f283614f403A24E3eB3455f720559ca,0.0
0x58b205fe9eafb64ebe83df13453e6068d0ee6acb806ee373dd37cd7a941dcd78,Atomic Match_,,0x5ad264fe5ae7912b5a9d0d424e17efcd85f19768,0xd2dd94d095247ba6520dd37491f2c7639ffbe74a,4403,0x7f268357A8c2552623316e2562D90e642bB538E5,0.1
0x66368fcd2647c311d80119355567e75ab6c5952776662c2adc4c002032e03115,Atomic Match_,,0x8b5b8d8c229256db9e3329774e29ab4757af107b,0xab39fd7c05d6dddaf8eab5db622d78503f83fd19,21888,0x7f268357A8c2552623316e2562D90e642bB538E5,0.06
0x96e3562e538eb047ca4334e38bdb72b26376ca72f0550e9997c49d52450e1f27,Atomic Match_,,0xcedc5a4c970e28e667b36e9769314dedc2295f62,0x12d94456564ea6b911b4062f234cac40d9c68a00,21734,0x7f268357A8c2552623316e2562D90e642bB538E5,0.0752
0xb40ff6541b4bfd3fcd7e7d4283e091068f655d660afddb4340559373ab136c60,Atomic Match_,,0x311447565cc4d856e3856e5a0ff937625ace446a,0x5c78ee96b40e9fa1ba905f89b7e5a262360f83bf,16201,0x7f268357A8c2552623316e2562D90e642bB538E5,0.035
0x120ec3353c468a4347d6c0430fa9f85c6ad621a0940260e9a215a3d7c260d43a,Transfer From,,0x0c0d4efbd57e40c45d2fa3cfd3828222c18215aa,0x032f81349078851c749d3ad3fa4a3a7b9774b7e0,6947,0x845a007D9f283614f403A24E3eB3455f720559ca,0.0
0xb77bb4ce10d06b813bd221dd2a0136b1f6e2671a3da2be3d08bf92c68f8fb5b6,Atomic Match_,,0xdc92b5c3d6fe636df9d51e9068f4578a51f2334e,0xb605735f3f1ca3daffccea0e2b30522d9b8318de,16276,0x7f268357A8c2552623316e2562D90e642bB538E5,0.02
0x60b38b1820c1a72cd74e7841fdc6abc751ab468428910965ead040094d90fe03,Atomic Match_,,0xb224b785ab3fe2fdc0326f6adbb265d3c339b6a0,0xbaa952fd34f0717f1febd9314977973c7e53973b,21404,0x7f268357A8c2552623316e2562D90e642bB538E5,0.0
0x629f690b5bc7b1328627feabc9fc68122d4407bbd07de3d0953abfafc87dae00,Atomic Match_,,0x63d33f0f67c211d3996fe5d8e24d072b37a3a005,0x7b9c407961fa8a90eb3ccb7c2eed029e2edf852d,21307,0x7f268357A8c2552623316e2562D90e642bB538E5,0.0175
0x716f664398f4ace47e6d50a41b9b3f8d3327fe1878ecd1fb21190a96ebb98303,Atomic Match_,,0x44d354cd189ab5f6f621109a07a0d420a020569f,0xb6a2df340e41cdc118e16d65101c7d18e59e59a6,17859,0x7f268357A8c2552623316e2562D90e642bB538E5,0.03
0x70682aed2d7bb29746a74c8afad6fb2a7e194cf0c922fd76801766f6b419e5ff,Transfer From,,0xd250acc86f704f1e226ba39cca9ab31d2d5e9714,konpay.eth,13963,0x845a007D9f283614f403A24E3eB3455f720559ca,0.0
