Txn Hash,Method,TimeStamp,From,To,TokenID,Contract Address,Value,Type,Market Place
0xe8264c8a740b750b6b9a10bd30e69c9f7a5ae2d6a7ce0a998f0c97c69cfce7e6,Atomic Match_,2021-10-26 9:21:50,0x95425e5abb5cece0c5653dd77be02b7913e53488,0x8e6a8466b229ac8ec3b4d960f21b12629eda8409,3773,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.03,Trading,Opensea
0xcd855c62d60059e5cdc038e29ad160fdd0174406d761b771af543a826b902f39,Atomic Match_,2021-10-26 9:21:50,0x7c86188b99dee924c58292936034d62269838b1b,0x8e6a8466b229ac8ec3b4d960f21b12629eda8409,6972,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.05,Trading,Opensea
0x1ab2649dee43d453e956aca2125da51599c73546465f59b0aca3efc8c6ac1d33,Atomic Match_,2021-10-25 22:27:33,0x95425e5abb5cece0c5653dd77be02b7913e53488,0x3543493a76ce5ca362dd6eeef000547de52b6875,3771,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.07,Trading,Opensea
0x43d4d134c67fb7433cd62cc8947b1511cf940107534825f4f980a045c02b1557,Atomic Match_,2021-10-25 16:37:12,jaymac.eth,0x09660f7157b1c30c3a1c75c72fdb030624322c63,4837,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.018,Trading,Opensea
0x7813060e437c375e832e490df49cd84acb4b739486040c7058b843aca181ff5d,Atomic Match_,2021-10-24 23:24:31,0x0c60e9c4ebeda9fd83375898d617ce526413bc49,0x8e6a8466b229ac8ec3b4d960f21b12629eda8409,3736,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.02,Trading,Opensea
0x5fad4ca91f10cb0eb0d60aebc39ad1e370085142f4b95a489f2ff8d38eb08712,Atomic Match_,2021-10-24 19:46:48,0x7f55bd494bed4b4eed2064eccc1af75e9d76ad4b,chrisdotn.eth,6780,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.018,Trading,Opensea
0x7719b823d858e8bc87a0787547afa1e7373c6ab7dfccb393e0c1bf18fff1eeb0,Atomic Match_,2021-10-24 19:44:27,0x1f7c1521f4857cd066843e26de3af090a02219ba,chrisdotn.eth,7347,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.018,Trading,Opensea
0xfc1d483df0134052e8593ce5250158b27a69b12e6d0dd459df4fc1c54cb55a58,Atomic Match_,2021-10-24 19:35:58,brayden.eth,chrisdotn.eth,1054,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.015,Trading,Opensea
0x0a39e9e79f40da8fef7b2d446a342195dc55c82ac63021e085bb1e2eaa8511ac,Atomic Match_,2021-10-24 19:33:12,brayden.eth,chrisdotn.eth,1053,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.012,Trading,Opensea
0xdc11e0d2e39f4171b99ab158520ed8802d413f2a2e6ce61547dca62125cf6c70,Atomic Match_,2021-10-24 19:32:49,brayden.eth,chrisdotn.eth,1057,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.011,Trading,Opensea
0x2325624fbf356783cff4cf42611ad01f11596adc9805aa1ce15c163d58e942cd,Atomic Match_,2021-10-24 19:31:25,brayden.eth,chrisdotn.eth,1055,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.01,Trading,Opensea
0x2cae190dfc383f0d3f26fbe67436a360190f5dae2901131375c11423247faaa5,Atomic Match_,2021-10-24 14:31:17,brayden.eth,niclax.eth,1903,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.09,Trading,Opensea
0xa8f56afc9cf78d1687a11a87c53170390d50e966f07432cc678555e3758fd691,Atomic Match_,2021-10-24 14:30:17,brayden.eth,niclax.eth,1056,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.05,Trading,Opensea
0x52007edb93dc9ad50dcab99e1ec3d636ec6e03139c4ef5ed562851dd66202c56,Atomic Match_,2021-10-23 17:51:08,stutter.eth,0x6ee43ebbf8cb81805cfdf7b8feed0777726ec55a,4280,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.13,Trading,Opensea
0xbd31945a03ba4d80cf45810f37164f30f6002f269680c504bb042b6c3675fec0,Transfer From,2021-10-23 17:30:35,0x9e239939665b0511c189c0878188590ef84b2d62,0x9e239939665b0511c189c0878188590ef84b2d62,2205,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,0.0,Transfer,None
0xe9ac3caa46fb6bf75721ea748e77bf4890485d5ddcb7ddee915f8561df006702,Atomic Match_,2021-10-23 17:24:54,0x2622a9d55d687e96c6320f64ad8c323ccd3b1115,0x9e239939665b0511c189c0878188590ef84b2d62,2205,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.018,Trading,Opensea
0xcd5e33a1074441167fc6adfa54aa5be59aa1d287fa384fc699f3c8a4f06dbf5c,Atomic Match_,2021-10-23 17:13:00,0xe2a55d478866ec60a4549950820390f4bf5cafb9,0x6ee43ebbf8cb81805cfdf7b8feed0777726ec55a,2311,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.03,Trading,Opensea
0x746c8f6e5e06b5bade3852f90f9e566aaa594789c71d5a7aed36d2b6f256da29,Atomic Match_,2021-10-23 16:06:57,0x7f55bd494bed4b4eed2064eccc1af75e9d76ad4b,0xf67a5b7a825e70a78cfafe282e643bd0e5f45c28,5869,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.018,Trading,Opensea
0xcb60e417b6e981dc5b95b9baec85e8df65aad702544f90960fdf0b38c54b6ee9,Transfer From,2021-10-23 11:36:45,0x971aaf9a24feeb6eda62e4f39437552af19b2171,rugdump.eth,211,0x24d0cbD0D5D7b50212251c5dc7cb810E7aF71F6a,0.0,Transfer,None
