Txn Hash,Method,TimeStamp,From,To,TokenID,Contract Address,Value,Type,Market Place
0xb40aab76e976b47b6964d1a846c88c4762f1837b88a00d6bb9ade01ecc97699c,Atomic Match_,2021-10-28 7:52:13,h2os.eth,0x19ef0b60ed5d60279eb02b41c83941fbb166fccf,9743,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.13,Trading,Opensea
0x0759cc5d15e4eef03496f36859d4a3343187178f0e9d0a42eb06a828dc3110b1,Atomic Match_,2021-10-27 14:09:02,0x82ca983ca5213e01c42260519a58d7582716306f,0xb4ddea5d4caaa2a9a944ffcc75aadd8b05d42b81,8992,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.1,Trading,Opensea
0x9e7d6af6906d4d21d461bf759321ca79e7ce12b08bca5584eb23d8d4eb6c2db7,Atomic Match_,2021-10-27 12:38:09,0x2913e0b55f2f2ca7331611d2b45c8b0feecf082a,0x6f20edeb8e9c933cd53a51e460b9b1baaf24d66d,9307,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,2.0,Trading,Opensea
0x989a5df29f6d777d0b130c7e2029744e35dd7fb23d1c4b6b208dec2ddccb7e85,Atomic Match_,2021-10-27 6:18:35,0x78b5887b94b7ac26b536dac7e829ecde355b48a2,0xfad8b507a390015ddd700f4e48d79ea146bdf73c,2573,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.06,Trading,Opensea
0x1b2a1f453aea44d61a34779ebb25185c36a74c9cfbd885a262e5ca16465d0792,Atomic Match_,2021-10-27 4:01:27,0x2913e0b55f2f2ca7331611d2b45c8b0feecf082a,0x4ef9bbb67c428fe52fecf5fc307ccb1ca2950de2,9828,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.49,Trading,Opensea
0x772cb9062e633be43977bd7a1def2dfe57c00ff7750e60aec2ca6bfdd73d3bfa,Atomic Match_,2021-10-27 2:27:32,0x73bf4353cc4fc35f40e3fe53281374069bb1ae96,0xdf5a23fab90bc505a9b8fcb7510fc82cd41b8f80,9320,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.064,Trading,Opensea
0x7f429a903bb8c96afdf42b0d4e891183ab439ff3a3a205a30d5fc103b189a9f7,Atomic Match_,2021-10-27 1:12:57,0x938245d2a0dd29ce2f6e5e23a9ac06c8ebd201b1,0x35df5d23f7d14fc7faec772613a340e4e4c98010,7284,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,1.0,Trading,Opensea
0xa3bfc8e642388f41df477120160bf4ed391aee099d42470659e815b0fbc4cbf7,Atomic Match_,2021-10-26 21:30:19,0x2913e0b55f2f2ca7331611d2b45c8b0feecf082a,0x751e6256485eb5ecec56042924aa34f01a289373,9777,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.1,Trading,Opensea
0x2a06952224c2b6d0f0667f6447bec17dd800d85075ec6b2e16e2e6fbd3c837e6,Atomic Match_,2021-10-26 15:19:28,0x2913e0b55f2f2ca7331611d2b45c8b0feecf082a,0x830959b99a79ec9f26ebce3439551d262c405a66,8076,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.1,Trading,Opensea
0x18429670402171fc465a40eda300d954cca06ecee63122a9612e5d59de5971eb,Atomic Match_,2021-10-26 8:55:31,0xe8fd07d101b280ab9798b73798c010da7ec956bb,0x7e7024354b20099548581c4d8e73f1e9f364d91f,4440,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.100055,Trading,Opensea
0x6f48b19354203177bdee83e1e68cffc9e979f6ab89f59b47a7a768551d914701,Atomic Match_,2021-10-25 21:37:17,0xe8fd07d101b280ab9798b73798c010da7ec956bb,0x90764cf5f287ae907b939e345d03c7ea4abbd4c5,2752,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.049,Trading,Opensea
0xe583d6f0a3af7f0ede1459bfd7fe3b8d7f6f47b781f22f772175f73d941d2a98,Atomic Match_,2021-10-25 21:14:23,0xe3d4e3ee8750f659b444f2fb7901bb27adcee037,0xba2b0a5f422beaa9ecb1a1bbdff0edac1f1f725a,8722,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.048,Trading,Opensea
0x287bd5dbc8a45a83ec963648a3f59ee142c771d0eb0a225133037efc4be9770d,Transfer From,2021-10-25 14:44:59,0x7b74e6aeeaff0466d0020f6a2777bd67f152aa25,0xa360f87574a7567bda3cbe3d1659e51262ccf8af,2227,0x7447c7eb3a602aEacDa7b7370Cd96085D476d662,0.0,Transfer,None
0x2719573b90678f6d9810a1f20e74fd43e70b175fa6b930e3fe46e78375c92c00,Transfer From,2021-10-25 10:35:14,0x660474a9112d4470689d604f0108dcc5e5a95288,0x3fc8e2baad9bccb61bd4999d9a6e4f108bc14a32,8557,0x7447c7eb3a602aEacDa7b7370Cd96085D476d662,0.0,Transfer,None
0x5118e14b2b972be736144b461dc5cf73d559cd918f3692cfa517ad0609ac5791,Transfer From,2021-10-25 10:07:20,0xf2e264996dd479104a17a7c9a5b4e93e9fc75dbd,0xdaae159c1f30054fd9df14c060daa1532d6f9a10,8878,0x7447c7eb3a602aEacDa7b7370Cd96085D476d662,0.0,Transfer,None
0x01ebbf257665fd546a14ceecd51f419134aea9a2b9f3f6e27a583db898ccabf8,Transfer From,2021-10-25 10:06:02,0xf2e264996dd479104a17a7c9a5b4e93e9fc75dbd,0xdaae159c1f30054fd9df14c060daa1532d6f9a10,8880,0x7447c7eb3a602aEacDa7b7370Cd96085D476d662,0.0,Transfer,None
0xcdd3a0ebe672d3af619b883a2e2b1cf32c398679822584b8cec2709f24ac6854,Transfer From,2021-10-25 10:06:02,0xf2e264996dd479104a17a7c9a5b4e93e9fc75dbd,0xdaae159c1f30054fd9df14c060daa1532d6f9a10,8879,0x7447c7eb3a602aEacDa7b7370Cd96085D476d662,0.0,Transfer,None
0x2cad73d8ee2db0b69e8295c80e2e0f3fa56c5efebd853e931050aab6cde19860,Transfer From,2021-10-25 10:03:43,0xf2e264996dd479104a17a7c9a5b4e93e9fc75dbd,0xdaae159c1f30054fd9df14c060daa1532d6f9a10,9170,0x7447c7eb3a602aEacDa7b7370Cd96085D476d662,0.0,Transfer,None
0xc4410ff86156af50ba7e6a298a3a646e404ccac024ea6e96657cd86f045bcb12,Atomic Match_,2021-10-25 9:22:40,0x7c9e4ea6c6ec03f1eaf6236f509a60689090b1ed,0x32598586a8b05902781de2c851297c99f4341c91,2714,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.042,Trading,Opensea
0xa9ab9b344bddffde1d367de47fadbea9de129746ef4c9e0d3dadfbcd6a1e13e1,Atomic Match_,2021-10-25 9:04:29,0x801942e00c1601c4538373a8b860abefad1e43f7,0xcbf3f9abb299c7b541d8b75dfd2fa8c8bbf8d9fd,4143,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.1,Trading,Opensea
0x5f2d5c94ccd5cc69d1558a2a3dfb0a249ff19adcc54287ccb9accbc908ab1afb,Atomic Match_,2021-10-25 7:09:16,0xde07a7f2dd824cdc027f3d410bc54b138658503c,0xebf28bce8013467ba3ce9d471fefdfc6a0f1d01b,3318,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.09,Trading,Opensea
0x4d382265c11f587bcd90726e5f972c4358c158b3a2ee8d2078d5d8befd7fbda6,Atomic Match_,2021-10-25 6:12:56,0x336e5b1a3ecf0548068714d060be7ce04bad7bff,0x4ef9bbb67c428fe52fecf5fc307ccb1ca2950de2,2082,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.25,Trading,Opensea
0x61b2a877f1165d7987d37cdd763a0a470566602ae11959d6b32a5a41da2743ff,Atomic Match_,2021-10-25 6:10:25,0xcd529e9f271b0e8a3acb7414da68c2a47cbfed44,0x4ef9bbb67c428fe52fecf5fc307ccb1ca2950de2,3405,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.08,Trading,Opensea
0x6a0e0cf97bd5dbfb11ce354790f880d65d5c21b94b0f950cd0cc3215de38c671,Atomic Match_,2021-10-25 3:46:04,0xd8cde7ceb76d2db0612079981b9a2154ff7e10cc,0x19ef0b60ed5d60279eb02b41c83941fbb166fccf,3029,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.085,Trading,Opensea
0x9ce394cfef33e5caa0a050173b11ee35247452f450f6ce8e98a1e034c810d573,Atomic Match_,2021-10-25 1:31:12,0x8ff1b91e9980075d0d1e8b10f9f7a654dee28ac6,0xbb3d7b0d3e01f936b22db4a79f2e82052c197e81,6569,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.28,Trading,Opensea
0x9c4d0aeb75e91fdca1108ebbc74b0a2762e8dbfa99500de6345cc7443a46f32f,Atomic Match_,2021-10-25 1:12:50,0x501aad2fa2e1b111706a146fbca2ed1eed0b01d2,0x6f20edeb8e9c933cd53a51e460b9b1baaf24d66d,7258,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.079,Trading,Opensea
0x549d244fd09445935f39ce4107d9bf89fcd3b3c202454d5f2e556d7ce8609444,Atomic Match_,2021-10-25 0:12:19,0x01e99b8ade5097606560f2a607fb2bef5c4c46f0,0xfef939af13f3b4d59abf9cdd27c2641c61f64ca1,6535,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.068,Trading,Opensea
0x0a1a6b11b46ca0b73e651baa9f258c627a6ab20fec03710e6dbe8f10e1d5904a,Atomic Match_,2021-10-24 19:52:05,0x938245d2a0dd29ce2f6e5e23a9ac06c8ebd201b1,0x53dee95a9fa8db8bdeebbceb6b3ca82af6fa6f19,8958,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.15,Trading,Opensea
0xaaf5c0ef475aae2bc1b02a965b839ce42acd5e904dee5fbbcba08844af1ba75d,Atomic Match_,2021-10-24 17:40:12,0xd8cde7ceb76d2db0612079981b9a2154ff7e10cc,0x26ea5717c4728a016131a0b13938c26d7aa83adc,3028,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.07,Trading,Opensea
0x073e39faccd3dae3639dfa7f171287b6dd5bc232f8c50c4d63fc06db522991b6,Atomic Match_,2021-10-24 17:39:15,0xcd150629ea0c51daad0adbfb209c00b26de9228d,0x26ea5717c4728a016131a0b13938c26d7aa83adc,4697,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.075,Trading,Opensea
0x648eb3bcca9fe7fceff946a3aa1dfa341b83e58b8e64e6274963eb664c3b3254,Atomic Match_,2021-10-24 17:36:32,0x3600ff8bbbd64079c4b9cecb05864d1a3b4847ee,0x26ea5717c4728a016131a0b13938c26d7aa83adc,1653,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.07,Trading,Opensea
0xcba03b119f2492ee6ddd577b3de2f7f7d9745d49584ee5edfbdc582a2f3d612c,Atomic Match_,2021-10-24 17:31:49,0x9ba8820204465c4c2fb45175e15bb2053f45ecc6,0x26ea5717c4728a016131a0b13938c26d7aa83adc,4807,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.07,Trading,Opensea
0xc6d7ba26a5fb764af69bcf649a4ce22c6f803167919bf468bfd925a6b9fb494e,Atomic Match_,2021-10-24 17:31:49,0x53dee95a9fa8db8bdeebbceb6b3ca82af6fa6f19,0x26ea5717c4728a016131a0b13938c26d7aa83adc,7309,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.06942,Trading,Opensea
0xa687c06c8641f29b0e533fa44a0b32e036e3d37ffc31967063b3296375ceabd4,Atomic Match_,2021-10-24 17:30:05,0x53dee95a9fa8db8bdeebbceb6b3ca82af6fa6f19,0x26ea5717c4728a016131a0b13938c26d7aa83adc,7307,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.06942,Trading,Opensea
0xc7fd1ce91e65bd9481b54396a8764e6512e6e385593187eb5117d62163e350f0,Atomic Match_,2021-10-24 17:28:54,0xf78270edf52a48e5c9e8a952b29a84c322df51ca,0x26ea5717c4728a016131a0b13938c26d7aa83adc,8778,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.069,Trading,Opensea
0xbadaead34b7d3eb25884acd325e815395b0e5c27fe2819bfde37a387247be2e8,Atomic Match_,2021-10-24 17:27:55,0xf78270edf52a48e5c9e8a952b29a84c322df51ca,0x26ea5717c4728a016131a0b13938c26d7aa83adc,6300,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.069,Trading,Opensea
0xa264dcaf2f5c8b7b9e8fa43c06b1744ef54fa71f09d04c3a14d0b233b0a21f48,Atomic Match_,2021-10-24 17:26:16,0x2913e0b55f2f2ca7331611d2b45c8b0feecf082a,0x26ea5717c4728a016131a0b13938c26d7aa83adc,9825,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.065,Trading,Opensea
0xe2e0ce2de7fa549eee2ffc9fdc6133a1c40e8c351a69e1b0fd204535f3455b50,Atomic Match_,2021-10-24 17:26:16,0xc271a4d1a8c6478c7932ebe5817f3902f703ea5a,0x26ea5717c4728a016131a0b13938c26d7aa83adc,8698,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.064,Trading,Opensea
0x138701f0ca57c0b1dcb4137bfe3c2b8b2d83ddd950c114982f6ab63b3f4b324c,Atomic Match_,2021-10-24 17:26:16,0x4aa5319dc6f416cc30f9f3cba200ad5dab916559,0x26ea5717c4728a016131a0b13938c26d7aa83adc,7085,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.063,Trading,Opensea
0xa6eff768cfa2756c182b08518d63e7bde4ce4c173aba4ff69fe294ce9d5ba810,Atomic Match_,2021-10-24 17:26:16,0x0d724547a974e3d5ea5108a6454a2bda2e4fd535,0x26ea5717c4728a016131a0b13938c26d7aa83adc,8724,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.06,Trading,Opensea
0x815454ad811d64a7e488f9068fc662fc23488faac6c28c6662640983d3216f43,Atomic Match_,2021-10-24 17:25:36,0x82ca983ca5213e01c42260519a58d7582716306f,0x26ea5717c4728a016131a0b13938c26d7aa83adc,9837,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.059,Trading,Opensea
0x0b1ddfb19799c69b55047e3e100f9cbd56b643e69409376e393e5077d8a75626,Atomic Match_,2021-10-24 17:00:29,0x1491f45c43523271a5e62b7b2b489349d535152d,0x26ea5717c4728a016131a0b13938c26d7aa83adc,3659,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.06,Trading,Opensea
0x1c32a1886ae3c152549e4a284a4ccf7fe95b849e06c150190fc667dc18200034,Atomic Match_,2021-10-24 17:00:02,0x1491f45c43523271a5e62b7b2b489349d535152d,0x26ea5717c4728a016131a0b13938c26d7aa83adc,3666,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.06,Trading,Opensea
0x8728a4535af7e8dc1ebf7b8ae93fb1e37ea5e048a5db72915987d98b06075d2d,Atomic Match_,2021-10-24 16:59:26,0xb108a7f95707ed6c7867901e6d90cdb8d4687c85,0x26ea5717c4728a016131a0b13938c26d7aa83adc,4657,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.06,Trading,Opensea
0x8b11bf45f36fa0bbb0d275dd88e7c06257b58db8a5fe9c6ec98f6c5d78fc6396,Atomic Match_,2021-10-24 16:58:15,h2os.eth,0x26ea5717c4728a016131a0b13938c26d7aa83adc,9489,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.06,Trading,Opensea
0xd64eddbb8efc98c47594bab761f23ba0868799f7e08d9b679b1f1f2e34cf0d54,Atomic Match_,2021-10-24 16:58:15,0x82ca983ca5213e01c42260519a58d7582716306f,0x26ea5717c4728a016131a0b13938c26d7aa83adc,9834,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.059,Trading,Opensea
0x99b3c14e0fe8397c37749c2eca88bf253027c40a794e131e9be44bf7de6ae078,Atomic Match_,2021-10-24 16:55:25,0x82ca983ca5213e01c42260519a58d7582716306f,0x26ea5717c4728a016131a0b13938c26d7aa83adc,9838,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.059,Trading,Opensea
0xef6dd50a586efa5bae3dd41a51976989a4d1a87d0105ce3e965ff494672728f9,Atomic Match_,2021-10-24 16:54:29,h2os.eth,0x26ea5717c4728a016131a0b13938c26d7aa83adc,9595,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.05,Trading,Opensea
0x4264b1432338d7f168a87fe7cf0533753d9787d8ad12130d67f1a200ee290e48,Atomic Match_,2021-10-24 16:53:04,0x854ffb3a05d8fa93caa8d72634f808a64c14e424,0x26ea5717c4728a016131a0b13938c26d7aa83adc,4166,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.055,Trading,Opensea
0xbebc0b8322ae782b9c55d204feb1f0aaeea7b94a5a444702522dfe8733ef1479,Atomic Match_,2021-10-24 16:49:34,0x82ca983ca5213e01c42260519a58d7582716306f,0x26ea5717c4728a016131a0b13938c26d7aa83adc,9835,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.059,Trading,Opensea
0x628522562f5b440dbcf0bdbc460dfd9df94626abebfde0409d82fe512d90643b,Transfer From,2021-10-24 16:05:37,pafka.eth,0x42cee488cc18247fcf15a6b7188ce539836e712e,4354,0x7447c7eb3a602aEacDa7b7370Cd96085D476d662,0.0,Transfer,None
0x3259c18d91bd34b6f1e3249872ef6f57b1144e8d528cc6e2b08fddd283b4e752,Atomic Match_,2021-10-24 13:43:06,0x9263abbb57c3ab550e2a7c7ba37c944a7717f54a,0x9c61453d9213b23e881742d3631756f6dad56b8e,3088,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,0.05,Trading,Opensea
0xf31e88514ecbccb7dbf3cae4020e419d22e54fe566f682cc183dadc2f4d35a82,Transfer From,2021-10-24 8:41:41,0x7b74e6aeeaff0466d0020f6a2777bd67f152aa25,0xa360f87574a7567bda3cbe3d1659e51262ccf8af,2031,0x7447c7eb3a602aEacDa7b7370Cd96085D476d662,0.0,Transfer,None
