Token Name,Route Number,Cycle Number,Cycle Length,Cycle Repeat,TimeStamp,From,To,Value,TokenID,Market Place
Animal Society,1,1,2,1,2021-10-25 23:39:53,0xf98ca8b59a70617c8ff783c5c557b98aee450d5e,0x0d9f5045b604ba0c050b5eb06d0b25d01c525ea5,0.0,4941,None
Animal Society,1,1,2,1,2021-10-20 21:59:25,0x0d9f5045b604ba0c050b5eb06d0b25d01c525ea5,0xf98ca8b59a70617c8ff783c5c557b98aee450d5e,0.0,4941,None
Animal Society,1,2,2,1,2021-10-29 7:49:34,0x846288c4f9fe8aef9ac643863ebc3bc250ea88e8,0xaf4a5dabb5d922b4cdaa5fdf2eddabade6895f85,0.0,2129,None
Animal Society,1,2,2,1,2021-10-29 7:44:58,0xaf4a5dabb5d922b4cdaa5fdf2eddabade6895f85,0x846288c4f9fe8aef9ac643863ebc3bc250ea88e8,0.0,5730,None
Animal Society,1,3,2,1,2021-10-21 13:14:54,0x9156f20136360aabc3f940af745aa989c0761017,0x9364b1e33be054cae248acf756f87adf5c171ed2,0.0,5829,None
Animal Society,1,3,2,1,2021-10-22 4:13:50,0x9364b1e33be054cae248acf756f87adf5c171ed2,0x9156f20136360aabc3f940af745aa989c0761017,0.0,7161,None
Animal Society,1,4,1,1,2021-10-20 14:14:06,0x0df5ed4fba434cbb8f7931cbc07b41e6642b6aed,0x0df5ed4fba434cbb8f7931cbc07b41e6642b6aed,0.0,59,None
Animal Society,1,5,4,1,2021-10-20 23:14:07,0x16701ac62027712492a5892e04bcdd5d381e43e0,0x975465fc554cfb7631bdc728d9b18abb0da71995,0.0,5188,None
Animal Society,1,5,4,1,2021-10-20 22:58:54,0x3d27e3d4d342f702537db4da5e7e92abe5da7fb1,0x16701ac62027712492a5892e04bcdd5d381e43e0,0.0,5188,None
Animal Society,1,5,4,1,2021-10-20 22:48:46,0x68f2f7e21af5c1ddb6c882e5e8ed0efa94c42e4f,0x3d27e3d4d342f702537db4da5e7e92abe5da7fb1,0.0,5188,None
Animal Society,1,5,4,1,2021-10-20 22:24:31,0x975465fc554cfb7631bdc728d9b18abb0da71995,0x68f2f7e21af5c1ddb6c882e5e8ed0efa94c42e4f,0.0,5188,None
Animal Society,1,6,3,1,2021-10-26 5:43:31,0xa9883cd7ddd66376547af299c512c551a3a0a27e,0xaf4a5dabb5d922b4cdaa5fdf2eddabade6895f85,0.45,7638,Opensea
Animal Society,1,6,3,1,2021-10-25 13:32:21,0x10ea2cf8c140d1688ad8ef3fec4f5d36cbca84c3,0xa9883cd7ddd66376547af299c512c551a3a0a27e,0.3,7638,Opensea
Animal Society,1,6,3,1,2021-10-26 8:19:20,0xaf4a5dabb5d922b4cdaa5fdf2eddabade6895f85,0x10ea2cf8c140d1688ad8ef3fec4f5d36cbca84c3,0.0,7638,None
