wallet,week trade count,week value sum,week value average,day trade count,day value sum,day value average,hour trade count,hour value sum,hour value average,single cycle number,multi cycle number,cycle wallets,trade count,value sum,value average,score,type
0xfb2308d3a021454d1cac605590b7b71326f3b870,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,38,위험
0x9912d628d1b3deff34dd6c3e32d2cb6501500e79,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x7fa51e956d836b4342916ca406fefcce68197de8,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x35c654372c85bc3f845621aec1e8addad6cddca0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0xbbaf2cbb2952c98b3729374a7307ea3e8cc0abf9,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0xeaa3606b35cc6e47c6f9c335a1571533ca48db36,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x5bf90455d4e50bf88042bf81374cad651767b3b3,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x8e5e032b2f8339df92273a073fec5900f5b11181,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x1ce67e6c5510525fd85c6dc3a54d58dad3240e6d,26,7.54675,1.618563725,13,3.3134625,0.776321371,7.36328125,1.532445313,0.383714025,0,3,12,52,15.0935,0.290259615,29,위험
0xae5a2942ad3dff5f4dd8df26019ee1bca5b30b3d,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0xf45879df18adaca0a525fe9fd85bdb09f613e902,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0xf74666458106519ab95b7180e49dd85f6a4ceacb,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x3e14ca3dfd6bf9984eb12acf015174126ab91ab1,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0xb3562659f8aab79c72dbd9c8333497c47c19ead2,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x25f4b66bad6599b9e87784e9ee5e0df33e26a3f4,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x2b09bc9e6f7b0b33141b881c7150cee21400cb2a,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x6780a122feb6b67ebc93f043fc6c129b7bb4f498,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x991048b241411815ed566e522e550859879e6d2f,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0xae18c2027df2c6013b27ad4d6414e286c50464f2,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x8451159cd499882c828c9d1c804ed56980da6fa2,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x61813183782e380657777b92b00c2d9103aa2422,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
ar6291.eth,1,0.081,0.081,1,0.081,0.081,1,0.081,0.081,0,1,23,1,0.081,0.081,29,위험
0xedcbd12d0c8ac4cbb6edcf9b2c81c0ab4a9094d3,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x093735af49ca63bea0e94e4c0fcbfcaba28e4750,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,29,위험
0x33caa8f6881b20cded1d18578d8194cb62af737b,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,26,위험
heff.eth,2.625,0.24625,0.09425,1.001953125,0.082460938,0.082148438,1.001953125,0.082460938,0.082148438,0,3,10,11,1.15,0.104545455,24,위험
0x61f64f6482a0997f96ad93553350fb830b116a62,5,0.55,0.083333333,2,0.175,0.077,1.5,0.098515625,0.073515625,0,3,10,10,1.1,0.11,24,위험
